Cement,Sand,Water,Hours,Bacteria,Fiber,Area
600,1200,270,0,0,0,0
600,1200,270,12,0,0,0.0152857
600,1200,270,24,0,0,0.0305714
600,1200,270,36,0,0,0.0458572
600,1200,270,48,0,0,0.0611429
600,1200,270,60,0,0,0.0764286
600,1200,270,72,0,0,0.0917143
600,1200,270,84,0,0,0.10700
600,1200,270,96,0,0,0.1222857
600,1200,270,108,0,0,0.1375714
600,1200,270,120,0,0,0.1528571
600,1200,270,132,0,0,0.1681429
600,1200,270,144,0,0,0.1834286
600,1200,270,156,0,0,0.1987143
600,1200,270,168,0,0,0.21400
600,1200,270,180,0,0,0.2196428
600,1200,270,192,0,0,0.2252857
600,1200,270,204,0,0,0.2309286
600,1200,270,216,0,0,0.2365714
600,1200,270,228,0,0,0.2422142
600,1200,270,240,0,0,0.2478571
600,1200,270,252,0,0,0.2535
600,1200,270,264,0,0,0.2591429
600,1200,270,276,0,0,0.2647857
600,1200,270,288,0,0,0.2704286
600,1200,270,300,0,0,0.2760715
600,1200,270,312,0,0,0.2817143
600,1200,270,324,0,0,0.2873571
600,1200,270,336,0,0,0.29300
600,1200,270,348,0,0,0.2974286
600,1200,270,360,0,0,0.3018571
600,1200,270,372,0,0,0.3062857
600,1200,270,384,0,0,0.3107143
600,1200,270,396,0,0,0.3151429
600,1200,270,408,0,0,0.3195714
600,1200,270,420,0,0,0.32400
600,1200,270,432,0,0,0.3284286
600,1200,270,444,0,0,0.3328571
600,1200,270,456,0,0,0.3372857
600,1200,270,468,0,0,0.3417142
600,1200,270,480,0,0,0.3461428
600,1200,270,492,0,0,0.3505714
600,1200,270,504,0,0,0.35500
600,1200,270,516,0,0,0.3557857
600,1200,270,528,0,0,0.3565714
600,1200,270,540,0,0,0.3573571
600,1200,270,552,0,0,0.3581429
600,1200,270,564,0,0,0.3589286
600,1200,270,576,0,0,0.3597143
600,1200,270,588,0,0,0.3605
600,1200,270,600,0,0,0.3612857
600,1200,270,612,0,0,0.3620714
600,1200,270,624,0,0,0.3628571
600,1200,270,636,0,0,0.3636428
600,1200,270,648,0,0,0.3644286
600,1200,270,660,0,0,0.3652143
600,1200,270,672,0,0,0.36600
600,1200,170,0,1,0,0
600,1200,170,12,1,0,0.0357857
600,1200,170,24,1,0,0.0715714
600,1200,170,36,1,0,0.1073571
600,1200,170,48,1,0,0.1431429
600,1200,170,60,1,0,0.1789286
600,1200,170,72,1,0,0.2147143
600,1200,170,84,1,0,0.2505
600,1200,170,96,1,0,0.2862857
600,1200,170,108,1,0,0.3220714
600,1200,170,120,1,0,0.3578571
600,1200,170,132,1,0,0.3936428
600,1200,170,144,1,0,0.4294286
600,1200,170,156,1,0,0.4652143
600,1200,170,168,1,0,0.50100
600,1200,170,180,1,0,0.5182857
600,1200,170,192,1,0,0.5355714
600,1200,170,204,1,0,0.5528571
600,1200,170,216,1,0,0.5701429
600,1200,170,228,1,0,0.5874286
600,1200,170,240,1,0,0.6047143
600,1200,170,252,1,0,0.62200
600,1200,170,264,1,0,0.6392857
600,1200,170,276,1,0,0.6565714
600,1200,170,288,1,0,0.6738572
600,1200,170,300,1,0,0.6911429
600,1200,170,312,1,0,0.7084286
600,1200,170,324,1,0,0.7257143
600,1200,170,336,1,0,0.74300
600,1200,170,348,1,0,0.7516429
600,1200,170,360,1,0,0.7602857
600,1200,170,372,1,0,0.7689286
600,1200,170,384,1,0,0.7775715
600,1200,170,396,1,0,0.7862143
600,1200,170,408,1,0,0.7948572
600,1200,170,420,1,0,0.8035001
600,1200,170,432,1,0,0.8121429
600,1200,170,444,1,0,0.8207858
600,1200,170,456,1,0,0.8294286
600,1200,170,468,1,0,0.8380714
600,1200,170,480,1,0,0.8467143
600,1200,170,492,1,0,0.8553572
600,1200,170,504,1,0,0.86400
600,1200,170,516,1,0,0.8697857
600,1200,170,528,1,0,0.8755714
600,1200,170,540,1,0,0.8813571
600,1200,170,552,1,0,0.8871429
600,1200,170,564,1,0,0.8929286
600,1200,170,576,1,0,0.8987143
600,1200,170,588,1,0,0.9045
600,1200,170,600,1,0,0.9102857
600,1200,170,612,1,0,0.9160714
600,1200,170,624,1,0,0.9218571
600,1200,170,636,1,0,0.9276428
600,1200,170,648,1,0,0.9334286
600,1200,170,660,1,0,0.9392143
600,1200,170,672,1,0,0.94500
600,1200,270,0,0,1,0
600,1200,270,12,0,1,0.0112143
600,1200,270,24,0,1,0.0224286
600,1200,270,36,0,1,0.0336429
600,1200,270,48,0,1,0.0448571
600,1200,270,60,0,1,0.0560714
600,1200,270,72,0,1,0.0672857
600,1200,270,84,0,1,0.0785
600,1200,270,96,0,1,0.0897143
600,1200,270,108,0,1,0.1009286
600,1200,270,120,0,1,0.1121429
600,1200,270,132,0,1,0.1233571
600,1200,270,144,0,1,0.1345714
600,1200,270,156,0,1,0.1457857
600,1200,270,168,0,1,0.15700
600,1200,270,180,0,1,0.1647857
600,1200,270,192,0,1,0.1725714
600,1200,270,204,0,1,0.1803571
600,1200,270,216,0,1,0.1881429
600,1200,270,228,0,1,0.1959286
600,1200,270,240,0,1,0.2037143
600,1200,270,252,0,1,0.2115
600,1200,270,264,0,1,0.2192857
600,1200,270,276,0,1,0.2270714
600,1200,270,288,0,1,0.2348571
600,1200,270,300,0,1,0.2426429
600,1200,270,312,0,1,0.2504286
600,1200,270,324,0,1,0.2582143
600,1200,270,336,0,1,0.26600
600,1200,270,348,0,1,0.2715715
600,1200,270,360,0,1,0.2771429
600,1200,270,372,0,1,0.2827143
600,1200,270,384,0,1,0.2882857
600,1200,270,396,0,1,0.2938572
600,1200,270,408,0,1,0.2994286
600,1200,270,420,0,1,0.30500
600,1200,270,432,0,1,0.3105714
600,1200,270,444,0,1,0.3161428
600,1200,270,456,0,1,0.3217143
600,1200,270,468,0,1,0.3272858
600,1200,270,480,0,1,0.3328572
600,1200,270,492,0,1,0.3384286
600,1200,270,504,0,1,0.34400
600,1200,270,516,0,1,0.3477143
600,1200,270,528,0,1,0.3514286
600,1200,270,540,0,1,0.3551429
